,id,text,time stamp
810,@shiningworld8,"On January st, around PM, a strong earthquake with a maximum intensity of was observed in Ishikawa Prefecture, Shika Town. The epicenter was in the Noto region, with a shallow depth, and the estimated magnitude is ., according to the Japan Meteorological Agency.",01-01-2024
811,@WAQASMmughall,Video of a river becoming like the inside of a washing machine due to the effects of an earthquake Tsunami m Earthquake safe Earthquake warning Ishikawa earthquake Ishikawa epicenter Ishikawa seismic intensity Noto earthquake Ishikawa safe .......,01-01-2024
813,@robotopia,"In July I visited Suzu City, near the epicenter of todays .-magnitude quake in Japan, and was surprised to see warnings like this on many buildings. The remote community at the end of the Noto Peninsula had suffered another big quake in May that left one dead and injured",01-01-2024
814,@aliwritespk,"A video capturing the earthquakes impact in Nagano, despite the epicenter being quite distant from the Noto peninsula where the earthquake struck today. Japan Earthquake Tsunami NewYear",01-01-2024
815,@mobin_911,"Video of the earthquake as it was experienced in Nagano, which is quite far from the epicenter of the earthquake that hit the Noto peninsula today. Tsunami japan earthquake NewYear",01-01-2024
817,@fleur_2021,"At around , an earthquake with its epicenter in the Noto region of Ishikawa Prefecture. M.A big tsunami is coming. Please evacuate to a high place",01-01-2024
819,@janisfrayer,Update from Japan major tsunami warning for Noto region near epicenter of M. earthquake revised to tsunami warning. Officials still on high alert and urging vigilance for possible similar strength quake in next - days given areas record of seismic activity.,01-01-2024
822,@kennedytetteh,"Although very shallow a major earthquake of Magnitude . has hit Noto, Ishikawa prefecture in Japan. Early warning of Tsunami to hit the epicenter. Residents advised to evacuate to higher grounds! Japan",01-01-2024
834,@maskedfools,"just now there were earthquakes in succession in noto in ishikawa and they were already the epicenter of the magnitude . earthquake earlier this afternoon, please pray for them, oh my god",01-01-2024
837,@say_Q_meisai,"A huge earthquake occurred in the Noto region of Japan. Although I am about km away from the epicenter my parents home, I am safe.",01-01-2024
842,@JRE_Super_Exp_E,--,01-01-2024
843,@S_Kgamesdao,"Switched to major tsunami warning. Please evacuate immediately. Information about the epicenter!! An earthquake occurred at around with its epicenter in the Noto region of Ishikawa Prefecture. The epicenter is very shallow, the magnitude of the earthquake is M.",01-01-2024
847,@_great_yota_,"Its been the start of a difficult year... If you are in the affected areas near the epicenter of the Noto Peninsula, please be careful and ensure your safety first.",01-01-2024
